SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
CIQ,2,"$7,000",Silver,"$3,500",Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
CircleCI,2,"$7,000",Silver,"$3,500",Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
DigitalOcean,2,"$7,000",None,$0,Gold,"$6,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0
opensource.com,5,"$7,000",None,$0,None,$0,,,None,$0,Media,"$1,500",Media,"$1,500",Special Event,"$1,000",Media,"$1,500",Media,"$1,500",None,$0
"Puppet, Inc.",3,"$7,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",Special Event,"$1,000",Silver,"$3,000"
Spyderbat,2,"$7,000",Silver,"$3,500",Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Databricks Inc.,2,"$6,500",Gold,"$6,000",Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
iXsystems,2,"$6,500",Silver,"$3,500",None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Linux Foundation,3,"$6,500",Speaker Track,"$2,000",None,$0,,,None,$0,Silver,"$3,000",Speaker Track,"$1,500",None,$0,None,$0,None,$0,None,$0
"Synopsys, Inc",2,"$6,500",Silver,"$3,500",None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Western Regional Collegiate Cyber Defense Competition,2,"$6,500",None,$0,Silver,"$3,500",,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
BareOS,2,"$6,000",None,$0,None,$0,,,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
BlackDuck,2,"$6,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0
Everbridge,2,"$6,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0
Gradle,1,"$6,000",None,$0,Gold,"$6,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Isovalent Inc.,1,"$6,000",Gold,"$6,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"NetApp, Inc",2,"$6,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0
New Relic,1,"$6,000",Gold,"$6,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
